Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 20.05    132.88   132.88  3168772     0.00     0.00  CLVM_ExecuteProgram
 10.59    203.09    70.21 70352770     0.00     0.00  Mod_CollisionBIH_TraceLineShared
  6.13    243.75    40.66 698051575     0.00     0.00  CSQC_Think
  4.59    274.17    30.42  1029143     0.00     0.00  Mod_Skeletal_AnimateVertices_SSE
  3.23    295.59    21.42 50805973     0.00     0.00  RSurf_PrepareVerticesForBatch
  3.13    316.32    20.73  1068728     0.00     0.00  R_DrawModelDecals_FadeEntity
  2.54    333.16    16.84 54078747     0.00     0.00  Mod_CollisionBIH_TracePoint
  2.23    347.91    14.75   191770     0.00     0.00  R_DrawParticles
  1.91    360.56    12.65 392409904     0.00     0.00  Mod_Mesh_IndexForVertex
  1.79    372.41    11.86 701891127     0.00     0.00  PRVM_EnterFunction
  1.76    384.08    11.67   556380     0.00     0.00  R_DrawModelDecals_Entity
  1.43    393.53     9.45 77324176     0.00     0.00  R_GetCurrentTexture
  1.32    402.30     8.77 35884921     0.00     0.00  R_SetupShader_Surface
  1.29    410.85     8.55   367438     0.00     0.00  Con_DrawNotifyRect
  1.21    418.87     8.02  1561806     0.00     0.00  R_DrawParticle_TransparentCallback
  1.17    426.65     7.78 701893234     0.00     0.00  PRVM_LeaveFunction
  1.13    434.16     7.51 698050749     0.00     0.00  CSQC_Predraw
  1.09    441.39     7.23  7877702     0.00     0.00  R_DrawModelSurfaces
  1.03    448.21     6.82 88624154     0.00     0.00  Collision_TraceLineBrushFloat
  0.83    453.73     5.52 431065778     0.00     0.00  _R_CullBox
  0.73    458.60     4.87  2481035     0.00     0.00  CL_NewParticlesFromEffectinfo
  0.67    463.02     4.42   483579     0.00     0.00  R_Q1BSP_RecursiveGetLightInfo_BSP
  0.66    467.40     4.38   199499     0.00     0.00  R_View_WorldVisibility
  0.65    471.73     4.33   191772     0.00     0.00  R_MeshQueue_RenderTransparent
  0.65    476.05     4.32  7668008     0.00     0.00  Mod_CollisionBIH_TraceBrush
  0.64    480.32     4.28 105853490     0.00     0.00  R_Mesh_TexBind
  0.63    484.50     4.18   192314     0.00     0.00  MVM_ExecuteProgram
  0.62    488.62     4.12   198828     0.00     0.00  CL_UpdateWorld
  0.52    492.10     3.48 171533803     0.00     0.00  Font_GetKerningForMap
  0.52    495.54     3.44 10835766     0.00     0.00  DrawQ_String_Scale
  0.49    498.81     3.27 152391993     0.00     0.00  Matrix4x4_Concat
  0.49    502.05     3.24 25307488     0.00     0.00  DrawQ_TextWidth_UntilWidth_TrackColors_Scale
  0.48    505.25     3.20 10864494     0.00     0.00  Mod_BSP_PointInLeaf
  0.44    508.14     2.89 13160836     0.00     0.00  SND_Spatialize_WithSfx
  0.42    510.92     2.78   373466     0.00     0.00  Mod_BuildTextureVectorsFromNormals
  0.41    513.67     2.75 54831853     0.00     0.00  World_LinkEdict
  0.41    516.37     2.70 179101948     0.00     0.00  PolygonF_Clip
  0.40    518.99     2.63 21065108     0.00     0.00  CSQC_AddRenderEdict
  0.39    521.56     2.57 294299463     0.00     0.00  R_Mesh_TexCoordPointer
  0.38    524.11     2.55 35884699     0.00     0.00  RSurf_UploadBuffersForBatch
  0.38    526.63     2.52   184042     0.00     0.00  VM_CL_R_AddEntities
  0.37    529.10     2.47   210000     0.00     0.00  Mod_BSP_FindNonSolidLocation_r
  0.36    531.48     2.39 334986560     0.00     0.00  u8_analyze
  0.35    533.79     2.31 40506924     0.00     0.00  CRC_Block
  0.33    536.01     2.22 237838645     0.00     0.00  Matrix4x4_FromBonePose7s
  0.32    538.16     2.15 10531342     0.00     0.00  Collision_TraceBrushBrushFloat
  0.31    540.24     2.08 21170845     0.00     0.00  World_EntitiesInBox
  0.31    542.32     2.08 68521823     0.00     0.00  Collision_ClipLineToWorld
  0.31    544.35     2.03   184041     0.00     0.00  CL_UpdateViewEntities
  0.30    546.31     1.96 36143236     0.00     0.00  Font_IndexForSize
  0.30    548.27     1.96   184027     0.00     0.00  CSQC_RelinkAllEntities
  0.29    550.19     1.92 132558764     0.00     0.00  Matrix4x4_Normalize3
  0.28    552.04     1.85 19184673     0.00     0.00  RSurf_ActiveModelEntity
  0.28    553.89     1.85 50623553     0.00     0.00  RSurf_DrawBatch
  0.26    555.61     1.72 44882839     0.00     0.00  R_GLSL_FindPermutation
  0.25    557.30     1.69 237491636     0.00     0.00  Matrix4x4_Accumulate
  0.25    558.98     1.68 157558339     0.00     0.00  PRVM_SetEngineString
  0.25    560.64     1.66   183636     0.00     0.00  PRVM_ED_Alloc
  0.25    562.29     1.65 48385125     0.00     0.00  VM_FrameBlendFromFrameGroupBlend
  0.24    563.91     1.62 128881629     0.00     0.00  R_Mesh_Draw
  0.24    565.51     1.60 98106407     0.00     0.00  Mod_Mesh_GetTexture
  0.24    567.07     1.56                             _init
  0.23    568.60     1.53 193740920     0.00     0.00  BoxOnPlaneSide
  0.23    570.11     1.51 32977089     0.00     0.00  R_BlendFuncFlags
  0.23    571.61     1.50   633850     0.00     0.00  Mod_Mesh_Finalize
  0.23    573.11     1.50 64827604     0.00     0.00  CL_TraceLine
  0.22    574.58     1.47 210575841     0.00     0.00  R_MeshQueue_AddTransparent
  0.22    576.04     1.46   184049     0.00     0.00  R_RenderView
  0.22    577.48     1.44   813154     0.00     0.00  Mod_BuildNormals
  0.22    578.91     1.43 127026422     0.00     0.00  Matrix4x4_Interpolate
  0.22    580.34     1.43  9091625     0.00     0.00  Mod_BSP_BoxTouchingVisibleLeafs
  0.21    581.75     1.41 65926733     0.00     0.00  R_DecalSystem_SplatTriangle
  0.21    583.16     1.41   191774     0.00     0.00  R_RenderScene
  0.21    584.52     1.36  1745671     0.00     0.00  BIH_GetTriangleListForBox_Node
  0.18    585.74     1.22 53300671     0.00     0.00  VM_CL_setorigin
  0.16    586.82     1.08 57107925     0.00     0.00  R_Mesh_VertexPointer
  0.16    587.90     1.08   903169     0.00     0.00  FS_FindFile
  0.16    588.98     1.08  5416937     0.00     0.00  R_Mod_DrawShadowMap
  0.15    589.99     1.01 54001094     0.00     0.00  CL_TracePoint
  0.15    590.95     0.97 106232115     0.00     0.00  VM_Warning
  0.14    591.87     0.92 72638683     0.00     0.00  R_Mesh_UpdateMeshBuffer
  0.13    592.73     0.86 70820377     0.00     0.00  R_BufferData_Store
  0.13    593.58     0.86 28354950     0.00     0.00  VM_GenerateFrameGroupBlend
  0.13    594.42     0.84 54831581     0.00     0.00  CL_LinkEdict
  0.12    595.25     0.83 17459268     0.00     0.00  R_Shadow_CalcBBoxSideMask
  0.12    596.05     0.80 183955605     0.00     0.00  Matrix4x4_Transform
  0.12    596.85     0.80 199525289     0.00     0.00  Font_GetMapForChar
  0.12    597.64     0.79 17875562     0.00     0.00  Cvar_FindVar
  0.12    598.42     0.78  8037745     0.00     0.00  CL_TraceBox
  0.11    599.15     0.73 19726409     0.00     0.00  CL_UpdateEntityShading_Entity
  0.11    599.88     0.73   198830     0.00     0.00  S_Update
  0.11    600.59     0.71 87939925     0.00     0.00  CL_GetModelFromEdict
  0.11    601.30     0.71       84     0.01     0.01  Font_LoadMap
  0.11    602.00     0.71 63322250     0.00     0.00  VM_bufstr_get
  0.11    602.71     0.71 57108556     0.00     0.00  R_Mesh_ColorPointer
  0.11    603.41     0.70   192098     0.00     0.00  Mod_AllocLightmap_Reset
  0.10    604.10     0.70 43755613     0.00     0.00  u8_bytelen
